ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment
German-62_duran-1,,German,62_duran,Tor,toːr,t oː r,,,29,,,,t oː r ( - - )
English-62_duran-1,,English,62_duran,door,dɔːr,d ɔː r,,,29,,,,d ɔː r ( - - )
ProtoGermanic-367_sokjanan-1,,ProtoGermanic,367_sokjanan,*sōkjanan,soːkjanan,s oː k j a n a n,,,30,,,,s oː k j a n ( a n )
German-367_sokjanan-1,,German,367_sokjanan,suchen,zuːxən,z uː x ə n,,,30,,,,z uː x - ə n ( - - )
English-367_sokjanan-1,,English,367_sokjanan,seek,siːk,s iː k,,,30,,,,s iː k - - - ( - - )
Dutch-367_sokjanan-1,,Dutch,367_sokjanan,zoeken,zuːkə,z uː k ə,,,30,,,,z uː k - ə - ( - - )
ProtoGermanic-23_bladan-1,,ProtoGermanic,23_bladan,*bladan,bladan,b l a d a n,,,31,,,,b l a d ( a n )
German-23_bladan-1,,German,23_bladan,Blatt,blat,b l a t,,,31,,,,b l a t ( - - )
Dutch-23_bladan-1,,Dutch,23_bladan,blad,blɑt,b l ɑ t,,,31,,,,b l ɑ t ( - - )
ProtoGermanic-477_xerton-1,,ProtoGermanic,477_xerton,*xertōn,xertoːn,x e r t oː n,,,32,,,,x e r t ( oː n )
German-477_xerton-1,,German,477_xerton,Herz,hɛrt͡s,h ɛ r ts,,,32,,,,h ɛ r ts ( - - )
English-477_xerton-1,,English,477_xerton,heart,hɑːt,h ɑː t,,,32,,,,h ɑː - t ( - - )
Dutch-477_xerton-1,,Dutch,477_xerton,hart,hɑrt,h ɑ r t,,,32,,,,h ɑ r t ( - - )
ProtoGermanic-83_fexu-1,,ProtoGermanic,83_fexu,*fexu,fexu,f e x u,,,33,,,,f e ( x u )
German-83_fexu-1,,German,83_fexu,Vieh,viː,v iː,,,33,,,,v iː ( - - )
English-83_fexu-1,,English,83_fexu,fee,fiː,f iː,,,33,,,,f iː ( - - )
Dutch-83_fexu-1,,Dutch,83_fexu,vee,veː,v eː,,,33,,,,v eː ( - - )
ProtoGermanic-185_liman-1,,ProtoGermanic,185_liman,*līman,liːman,l iː m a n,,,34,,,,l iː m ( a n )
German-185_liman-1,,German,185_liman,Leim,laim,l ai m,,,34,,,,l ai m ( - - )
English-185_liman-1,,English,185_liman,lime,laɪm,l aɪ m,,,34,,,,l aɪ m ( - - )
Dutch-185_liman-1,,Dutch,185_liman,lijm,lɛɪm,l ɛɪ m,,,34,,,,l ɛɪ m ( - - )
ProtoGermanic-231_nelo-1,,ProtoGermanic,231_nelo,*nēθlō,neːθloː,n eː θ l oː,,,35,,,,n eː θ - l ( oː )
German-231_nelo-1,,German,231_nelo,Nadel,naːdəl,n aː d ə l,,,35,,,,n aː d ə l ( - )
English-231_nelo-1,,English,231_nelo,needle,niːdḷ,n iː d ə l,,,35,,,,n iː d ə l ( - )
Dutch-231_nelo-1,,Dutch,231_nelo,naald,naːlt,n aː l t,,,35,,,,n aː - - l ( t )
ProtoGermanic-199_maron-1,,ProtoGermanic,199_maron,*marōn,maroːn,m a r oː n,,,36,,,,( - - - - ) m a r ( oː n )
German-199_maron-1,,German,199_maron,Mahr,maːr,m aː r,,,36,,,,( - - - - ) m aː r ( - - )
English-199_maron-1,,English,199_maron,nightmare,naɪtmɛər,n aɪ t m ɛə r,,,36,,,,( n aɪ - t ) m ɛə r ( - - )
Dutch-199_maron-1,,Dutch,199_maron,nachtmerrie,nɑxtmɛriː,n ɑ x t m ɛ r iː,,,36,,,,( n ɑ x t ) m ɛ r ( iː - )
