ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment
German-412_weljon-1,,German,412_weljon,Wille,vɪlə,v ɪ l ə,,,60,,,,v ɪ l - ə ( - )
English-412_weljon-1,,English,412_weljon,will,ʋɪl,ʋ ɪ l,,,60,,,,ʋ ɪ l - - ( - )
Dutch-412_weljon-1,,Dutch,412_weljon,wil,ʋɪl,ʋ ɪ l,,,60,,,,ʋ ɪ l - - ( - )
ProtoGermanic-18_bergan-1,,ProtoGermanic,18_bergan,*bergan,bergan,b e r g a n,,,61,,,,b e r g ( a n )
German-18_bergan-1,,German,18_bergan,Berg,bɛrk,b ɛ r k,,,61,,,,b ɛ r k ( - - )
English-18_bergan-1,,English,18_bergan,barrow,bærəʊ,b æ r əʊ,,,61,,,,b æ r əʊ ( - - )
Dutch-18_bergan-1,,Dutch,18_bergan,berg,bɛrx,b ɛ r x,,,61,,,,b ɛ r x ( - - )
ProtoGermanic-42_boguz-1,,ProtoGermanic,42_boguz,*bōguz,boːguz,b oː g u z,,,62,,,,b oː g ( u z )
German-42_boguz-1,,German,42_boguz,Bug,buːk,b uː k,,,62,,,,b uː k ( - - )
English-42_boguz-1,,English,42_boguz,bough,baʊ,b aʊ,,,62,,,,b aʊ - ( - - )
ProtoGermanic-518_rejez-1,,ProtoGermanic,518_rejez,*θrejez,θrejez,θ r e j e z,,,63,,,,θ r e j ( e z )
German-518_rejez-1,,German,518_rejez,drei,drai,d r ai,,,63,,,,d r ai - ( - - )
English-518_rejez-1,,English,518_rejez,three,θriː,θ r iː,,,63,,,,θ r iː - ( - - )
Dutch-518_rejez-1,,Dutch,518_rejez,drie,driː,d r iː,,,63,,,,d r iː - ( - - )
ProtoGermanic-365_sidon-1,,ProtoGermanic,365_sidon,*sīdōn,siːdoːn,s iː d oː n,,,64,,,,s iː d oː ( n )
German-365_sidon-1,,German,365_sidon,Seite,zaitə,z ai t ə,,,64,,,,z ai t ə ( - )
English-365_sidon-1,,English,365_sidon,side,saɪd,s aɪ d,,,64,,,,s aɪ d - ( - )
ProtoGermanic-432_wurdan-1,,ProtoGermanic,432_wurdan,*wurdan,wurdan,w u r d a n,,,65,,,,w u r d ( a n )
German-432_wurdan-1,,German,432_wurdan,Wort,vɔrt,v ɔ r t,,,65,,,,v ɔ r t ( - - )
English-432_wurdan-1,,English,432_wurdan,word,ʋɜːd,ʋ ɜː d,,,65,,,,ʋ ɜː - d ( - - )
Dutch-432_wurdan-1,,Dutch,432_wurdan,woord,ʋoːrt,ʋ oː r t,,,65,,,,ʋ oː r t ( - - )
ProtoGermanic-209_melan-1,,ProtoGermanic,209_melan,*mēlan,meːlan,m eː l a n,,,66,,,,m eː l ( a n )
German-209_melan-1,,German,209_melan,Mal,maːl,m aː l,,,66,,,,m aː l ( - - )
English-209_melan-1,,English,209_melan,meal,miːl,m iː l,,,66,,,,m iː l ( - - )
Dutch-209_melan-1,,Dutch,209_melan,maal,maːl,m aː l,,,66,,,,m aː l ( - - )
ProtoGermanic-120_gripanan-1,,ProtoGermanic,120_gripanan,*grīpanan,griːpanan,g r iː p a n a n,,,67,,,,g r iː p a n ( a n )
German-120_gripanan-1,,German,120_gripanan,greifen,ɡraifən,ɡ r ai f ə n,,,67,,,,ɡ r ai f ə n ( - - )
English-120_gripanan-1,,English,120_gripanan,gripe,ɡraɪp,ɡ r aɪ p,,,67,,,,ɡ r aɪ p - - ( - - )
Dutch-120_gripanan-1,,Dutch,120_gripanan,grijpen,xrɛɪpə,x r ɛɪ p ə,,,67,,,,x r ɛɪ p ə - ( - - )
ProtoGermanic-498_xwerbilaz-1,,ProtoGermanic,498_xwerbilaz,*xwerbilaz,xwerbilaz,xʷ e r b i l a z,,,68,,,,xʷ e r b i l ( a z )
German-498_xwerbilaz-1,,German,498_xwerbilaz,Wirbel,vɪrbəl,v ɪ r b ə l,,,68,,,,v ɪ r b ə l ( - - )
Dutch-498_xwerbilaz-1,,Dutch,498_xwerbilaz,wervel,ʋɛrvəl,ʋ ɛ r v ə l,,,68,,,,ʋ ɛ r v ə l ( - - )
ProtoGermanic-70_fallanan-1,,ProtoGermanic,70_fallanan,*fallanan,fallanan,f a lː a n a n,,,69,,,,f a lː a n ( a n )
German-70_fallanan-1,,German,70_fallanan,fallen,falən,f a l ə n,,,69,,,,f a l ə n ( - - )
English-70_fallanan-1,,English,70_fallanan,fall,fɔːl,f ɔː l,,,69,,,,f ɔː l - - ( - - )
Dutch-70_fallanan-1,,Dutch,70_fallanan,vallen,vɑlə,v ɑ l ə,,,69,,,,v ɑ l ə - ( - - )
ProtoGermanic-465_xaubudan-1,,ProtoGermanic,465_xaubudan,*xaubudan,xaubudan,x au b u d a n,,,70,,,,x au b ( u ) d ( a n )
German-465_xaubudan-1,,German,465_xaubudan,Haupt,haupt,h au p t,,,70,,,,h au p ( - ) t ( - - )
English-465_xaubudan-1,,English,465_xaubudan,head,hɛd,h ɛ d,,,70,,,,h ɛ - ( - ) d ( - - )
Dutch-465_xaubudan-1,,Dutch,465_xaubudan,hoofd,hoːft,h oː f t,,,70,,,,h oː f ( - ) t ( - - )
ProtoGermanic-152_laiaz-1,,ProtoGermanic,152_laiaz,*laiθaz,laiθaz,l ai θ a z,,,71,,,,l ai θ ( a z )
German-152_laiaz-1,,German,152_laiaz,Leid,lait,l ai t,,,71,,,,l ai d ( - - )
English-152_laiaz-1,,English,152_laiaz,loath,ləʊθ,l əʊ θ,,,71,,,,l əʊ θ ( - - )
Dutch-152_laiaz-1,,Dutch,152_laiaz,leed,leːt,l eː t,,,71,,,,l eː t ( - - )
ProtoGermanic-13_bazjan-1,,ProtoGermanic,13_bazjan,*bazjan,bazjan,b a z j a n,,,72,,,,b a z j ( a n )
German-13_bazjan-1,,German,13_bazjan,Beere,beːrə,b eː r ə,,,72,,,,b eː r - ( ə - )
English-13_bazjan-1,,English,13_bazjan,berry,bɛrɪ,b ɛ r ɪ,,,72,,,,b ɛ r - ( ɪ - )
Dutch-13_bazjan-1,,Dutch,13_bazjan,bes,bɛs,b ɛ s,,,72,,,,b ɛ s - ( - - )
ProtoGermanic-157_laubjanan-1,,ProtoGermanic,157_laubjanan,*laubjanan,laubjanan,l au b j a n a n,,,73,,,,( - - ) l au b j a n ( a n )
German-157_laubjanan-1,,German,157_laubjanan,glauben,ɡlaubən,ɡ l au b ə n,,,73,,,,( ɡ - ) l au b - ə n ( - - )
English-157_laubjanan-1,,English,157_laubjanan,believe,bɪliːv,b ɪ l iː v,,,73,,,,( b ɪ ) l iː v - - - ( - - )
Dutch-157_laubjanan-1,,Dutch,157_laubjanan,geloven,xəloːvə,x ə l oː v ə,,,73,,,,( x ə ) l oː v - ə - ( - - )
ProtoGermanic-167_leuan-1,,ProtoGermanic,167_leuan,*leuθan,leuθan,l eu θ a n,,,74,,,,l eu θ ( a n )
German-167_leuan-1,,German,167_leuan,Lied,liːt,l iː t,,,74,,,,l iː d ( - - )
Dutch-167_leuan-1,,Dutch,167_leuan,lied,liːt,l iː t,,,74,,,,l iː t ( - - )
ProtoGermanic-338_steuran-1,,ProtoGermanic,338_steuran,*steuran,steuran,s t eu r a n,,,75,,,,s t eu - r ( a n )
German-338_steuran-1,,German,338_steuran,Steuer,ʃtɔyər,ʃ t ɔy ə r,,,75,,,,ʃ t ɔy ə r ( - - )
Dutch-338_steuran-1,,Dutch,338_steuran,stuur,styːr,s t yː r,,,75,,,,s t yː - r ( - - )
